"N°","N°OF","N°_Palette","Diamètre_intérieure__mm_","Diamètre_extérieure__mm_","Longueur___mm_","Validation_géométrie__x_","Flat_Crush__kN_","Humidité__%_","Valeurstemp","Date_et_heure_d_importation"
2094,"38290","",0,0,0,"",0.685,7.1,0,
2095,"38290","",0,0,0,"",0.684,,0,
2096,"38234","",0,0,0,"",2.515,7.88,0,
2097,"38234","",0,0,0,"",2.581,0,0,
2098,"38235","",0,0,0,"",3.125,7.49,0,
2099,"38235","",0,0,0,"",3.156,0,0,
2195,"38290","13",,,3005,"",0,0,0,
2196,"38290","13",,,3007,"",0,0,0,
2197,"38290","13",152.7,168.02,3005,"1",0,0,0,
2198,"38290","15",,,3004,"",0,0,0,
2199,"38290","15",,,3005,"",0,0,0,
2200,"38290","15",152.7,167.83,3003,"1",0,0,0,
2201,"38290","14",,,3005,"",0,0,0,
2202,"38290","14",,,3006,"",0,0,0,
2203,"38290","14",152.7,167.93,3004,"1",0,0,0,
2204,"38290","8",,,3004,"",0,0,0,
2205,"38290","8",,,3004,"",0,0,0,
2206,"38290","8",152.7,167.73,3001,"1",0,0,0,
2207,"38290","9",,,3006,"",0,0,0,
2208,"38290","9",,,3007,"",0,0,0,
2209,"38290","9",152.7,167.91,3005,"1",0,0,0,
2210,"38290","12",,,3004,"",0,0,0,
2211,"38290","12",,,3005,"",0,0,0,
2212,"38290","12",152.7,168.05,3004,"1",0,0,0,
2213,"38290","1",,,3006,"",0,0,0,
2214,"38290","1",,,3008,"",0,0,0,
2215,"38290","1",152.7,168.27,3006,"1",0,0,0,
2216,"38290","10",,,3004,"",0,0,0,
2217,"38290","10",,,3006,"",0,0,0,
2218,"38290","10",152.7,168.19,3004,"1",0,0,0,
2219,"38290","2",,,3007,"",0,0,0,
2220,"38290","2",,,3008,"",0,0,0,
2221,"38290","2",152.7,167.75,3005,"1",0,0,0,
2222,"38290","3",,,3006,"",0,0,0,
2223,"38290","3",,,3005,"",0,0,0,
2224,"38290","3",152.7,168.2,3003,"1",0,0,0,
2225,"38290","11",,,3007,"",0,0,0,
2226,"38290","11",,,3007,"",0,0,0,
2227,"38290","11",152.7,167.95,3005,"1",0,0,0,
2228,"38290","4",,,3003,"",0,0,0,
2229,"38290","4",,,3005,"",0,0,0,
2230,"38290","4",152.7,167.82,3003,"1",0,0,0,
2231,"38290","5",,,3007,"",0,0,0,
2232,"38290","5",,,3007,"",0,0,0,
2233,"38290","5",152.7,168.12,3005,"1",0,0,0,
2234,"38290","6",,,3003,"",0,0,0,
2235,"38290","6",,,3005,"",0,0,0,
2236,"38290","6",152.7,167.74,3003,"1",0,0,0,
2237,"38290","7",,,3005,"",0,0,0,
2238,"38290","7",,,3005,"",0,0,0,
2239,"38290","7",152.7,168.06,3004,"1",0,0,0,
2240,"38290","16",,,3004,"",0,0,0,
2241,"38290","16",,,3005,"",0,0,0,
2242,"38290","16",152.7,167.92,3003,"1",0,0,0,
2244,"38273","",0,0,0,"",0.539,7.22,0,
2245,"37912","",0,0,0,"",0.8,7.88,0,
2246,"37912","",0,0,0,"",0.796,0,0,
2247,"38272","",0,0,0,"",0.513,7.14,0,
2248,"38272","",0,0,0,"",0.541,0,0,
2249,"38271","",0,0,0,"",0.488,7.15,0,
2250,"38271","",0,0,0,"",0.479,0,0,
2251,"38212","",0,0,0,"",0.697,7.35,0,
2252,"38212","",0,0,0,"",0.809,0,0,
2253,"38167","",0,0,0,"",0.458,7.8,0,
2254,"38167","",0,0,0,"",0.514,0,0,
2255,"38166","",0,0,0,"",0.534,6.98,0,
2256,"38166","",0,0,0,"",0.452,0,0,
2257,"38234","6",,,2603,"",0,0,0,
2258,"38234","6",,,2603,"",0,0,0,
2259,"38234","6",76.6,106.38,2601,"1",0,0,0,
2260,"38234","3",,,2603,"",0,0,0,
2261,"38234","3",,,2603,"",0,0,0,
2262,"38234","3",76.5,106.52,2603,"1",0,0,0,
2263,"38234","5",,,2602,"",0,0,0,
2264,"38234","5",,,2602,"",0,0,0,
2265,"38234","5",76.6,106.24,2601,"1",0,0,0,
2266,"38234","1",,,2602,"",0,0,0,
2267,"38234","1",,,2602,"",0,0,0,
2268,"38234","1",76.5,106.35,2603,"1",0,0,0,
2269,"38234","4",,,2602,"",0,0,0,
2270,"38234","4",,,2602,"",0,0,0,
2271,"38234","4",76.5,106.63,2602,"1",0,0,0,
2272,"38234","2",,,2602,"",0,0,0,
2273,"38234","2",,,2603,"",0,0,0,
2274,"38234","2",76.5,106.44,2602,"1",0,0,0,
2275,"38235","1",,,3453,"",0,0,0,
2276,"38235","1",,,3454,"",0,0,0,
2277,"38235","1",70.6,106.46,3452,"1",0,0,0,
2278,"38235","2",,,3454,"",0,0,0,
2279,"38235","2",,,3455,"",0,0,0,
2280,"38235","2",70.6,106.26,3455,"1",0,0,0,
2281,"38271","1",,,2109,"",0,0,0,
2282,"38271","1",,,2110,"",0,0,0,
2283,"38271","1",128.3,140.51,2106,"1",0,0,0,
2284,"38271","2",,,2106,"",0,0,0,
2285,"38271","2",,,2110,"",0,0,0,
2286,"38271","2",128.3,140.45,2108,"1",0,0,0,
2287,"38167","",128.3,140.22,5224,"1",0,0,0,
2288,"38167","",,,5224,"",0,0,0,
2289,"38167","",128.3,139.87,5223,"1",0,0,0,
2290,"38167","",,,5223,"",0,0,0,
2291,"38167","",128.2,140.06,5223,"1",0,0,0,
2292,"38167","",,,5226,"",0,0,0,
2293,"38273","",128.3,140.46,5227,"1",0,0,0,
2294,"38273","",,,5222,"",0,0,0,
2295,"38273","",128.2,140.37,5226,"1",0,0,0,
2296,"38273","",,,5224,"",0,0,0,
2297,"38273","",128.3,140.16,5221,"1",0,0,0,
2298,"37912","",,,5218,"",0,0,0,
2299,"37912","",128.3,144.14,5215,"1",0,0,0,
2300,"38212","",,,5208,"",0,0,0,
2301,"38212","",128.3,144.64,5213,"1",0,0,0,
2302,"38212","",,,5213,"",0,0,0,
2303,"38212","",128.3,144.18,5214,"1",0,0,0,
2304,"38272","",128.4,140.26,4522,"1",0,0,0,
2305,"38272","",,,4521,"",0,0,0,
2306,"38272","",128.4,140.56,4521,"1",0,0,0,
2307,"38166","",,,4524,"",0,0,0,
2308,"38166","",128.4,140.09,4522,"1",0,0,0,
2310,"38340","",0,0,0,"",1.338,8.45,0,
2311,"38340","",0,0,0,"",1.382,0,0,
2312,"38170","",0,0,0,"",3.702,6.97,0,
2313,"38170","",0,0,0,"",3.96,0,0,
2314,"38170","",0,0,0,"",3.815,0,0,
2315,"38170","",0,0,0,"",3.719,0,0,
2316,"38170","",0,0,0,"",3.839,0,0,
2317,"38170","",0,0,0,"",3.679,0,0,
2318,"38349","",0,0,0,"",0.269,7.91,0,
2319,"38349","",0,0,0,"",0.282,0,0,
2320,"38170","1",,,8333,"",0,0,0,
2321,"38170","1",,,8338,"",0,0,0,
2322,"38170","1",76.6,106.73,8332,"1",0,0,0,
2323,"38170","2",,,8333,"",0,0,0,
2324,"38170","2",,,8338,"",0,0,0,
2325,"38170","2",76.6,106.7,8328,"1",0,0,0,
2326,"38170","3",,,8332,"",0,0,0,
2327,"38170","3",,,8336,"",0,0,0,
2328,"38170","3",76.6,106.83,8332,"1",0,0,0,
2329,"38170","4",,,8329,"",0,0,0,
2330,"38170","4",,,8335,"",0,0,0,
2331,"38170","4",76.6,106.62,8329,"1",0,0,0,
2332,"38170","5",,,8332,"",0,0,0,
2333,"38170","5",,,8337,"",0,0,0,
2334,"38170","5",76.6,106.58,8332,"1",0,0,0,
2335,"38170","6",,,8333,"",0,0,0,
2336,"38170","6",,,8336,"",0,0,0,
2337,"38170","6",76.6,106.94,8331,"1",0,0,0,
2339,"37410","",,,,"",,,,
2341,"38340","13",150.8,173.77,1000,"1",,,,
2342,"38340","12",,,1000,"",,,,
2343,"38340","12",,,1000,"",,,,
2344,"38340","12",151,173.84,1001,"1",,,,
2345,"38340","7",,,1001,"",,,,
2346,"38340","7",,,1001,"",,,,
2347,"38340","7",150.9,173.86,1000,"1",,,,
2348,"38340","5",,,1000,"",,,,
2349,"38340","5",,,1000,"",,,,
2350,"38340","5",151,173.73,999,"1",,,,
2351,"38340","2",,,1000,"",,,,
2352,"38340","2",,,1001,"",,,,
2353,"38340","2",150.9,173.93,1001,"1",,,,
2354,"38340","14",,,1001,"",,,,
2355,"38340","14",,,1001,"",,,,
2356,"38340","14",150.9,173.73,1000,"1",,,,
2357,"38340","9",,,999,"",,,,
2358,"38340","9",,,1000,"",,,,
2359,"38340","9",151,174.05,999,"1",,,,
2360,"38340","8",,,1001,"",,,,
2361,"38340","8",,,1001,"",,,,
2362,"38340","8",151,174.02,999,"1",,,,
2363,"38340","3",,,1000,"",,,,
2364,"38340","3",,,1000,"",,,,
2365,"38340","3",150.9,173.75,1000,"1",,,,
2366,"38340","1",,,1000,"",,,,
2367,"38340","1",,,1000,"",,,,
2368,"38340","1",150.9,173.86,1000,"1",,,,
2369,"38340","4",,,1001,"",,,,
2370,"38340","4",,,1001,"",,,,
2371,"38340","4",150.9,173.69,1000,"1",,,,
2372,"38340","6",,,999,"",,,,
2373,"38340","6",,,1001,"",,,,
2374,"38340","6",150.9,174.1,1000,"1",,,,
2375,"38340","10",,,1001,"",,,,
2376,"38340","10",,,1001,"",,,,
2377,"38340","10",151,173.93,1001,"1",,,,
2378,"38340","11",,,1000,"",,,,
2379,"38340","11",,,1000,"",,,,
2380,"38340","11",151,173.63,999,"1",,,,
2381,"38340","16",,,999,"",,,,
2382,"38340","16",,,1000,"",,,,
2383,"38340","16",150.9,174.22,1000,"1",,,,
2384,"38340","15",,,999,"",,,,
2385,"38340","15",,,1000,"",,,,
2386,"38340","15",150.9,173.62,999,"1",,,,
2387,"38340","19",,,1000,"",,,,
2388,"38340","19",,,1000,"",,,,
2389,"38340","19",150.9,173.95,1001,"1",,,,
2390,"38340","21",,,1000,"",,,,
2391,"38340","21",,,1000,"",,,,
2392,"38340","21",150.9,174.12,999,"1",,,,
2393,"38340","18",,,1000,"",,,,
2394,"38340","18",,,1000,"",,,,
2395,"38340","18",150.9,173.87,1000,"1",,,,
2396,"38340","20",,,1001,"",,,,
2397,"38340","20",,,1000,"",,,,
2398,"38340","20",150.9,173.93,1000,"1",,,,
2399,"38277","18",,,1000,"",,,,
2400,"38277","18",,,1001,"",,,,
2401,"38277","18",150.9,173.75,1000,"1",,,,
2402,"38340","17",,,999,"",,,,
2403,"38340","17",,,1000,"",,,,
2404,"38340","17",150.9,173.77,1000,"1",,,,
2405,"38277","14",,,1001,"",,,,
2406,"38277","14",,,1001,"",,,,
2407,"38277","14",150.9,173.58,1001,"1",,,,
2408,"38277","16",,,1002,"",,,,
2409,"38277","16",,,1001,"",,,,
2410,"38277","16",150.9,173.97,1001,"1",,,,
2411,"38277","17",,,1000,"",,,,
2412,"38277","17",,,1000,"",,,,
2413,"38277","17",150.9,173.94,1001,"1",,,,
2414,"38277","15",,,1000,"",,,,
2415,"38277","15",,,1000,"",,,,
2416,"38277","15",150.9,174,1000,"1",,,,
2417,"38349","2",,,1503,"",,,,
2418,"38349","2",,,1503,"",,,,
2419,"38349","2",76.4,84.1,1503,"1",,,,
2420,"38349","3",,,1503,"",,,,
2421,"38349","3",,,1503,"",,,,
2422,"38349","3",76.3,84.25,1503,"1",,,,
2423,"38349","4",,,1503,"",,,,
2424,"38349","4",,,1503,"",,,,
2425,"38349","4",76.4,84.19,1503,"1",,,,
2426,"38349","5",,,1502,"",,,,
2427,"38349","5",,,1503,"",,,,
2428,"38349","5",76.4,84.11,1503,"1",,,,
2429,"38349","1",,,1503,"",,,,
2430,"38349","1",,,1503,"",,,,
2431,"38349","1",76.4,84.15,1503,"1",,,,
2433,"38277","",,,,"",1.341,7.99,,
2434,"38277","",,,,"",1.368,,,
2435,"38356","",,,,"",0.964,9.47,,
2436,"38356","",,,,"",0.938,,,
2437,"38355","",,,,"",2.227,9.82,,
2438,"38355","",,,,"",2.256,,,
2439,"38354","",,,,"",0.508,8.12,,
2440,"38354","",,,,"",0.484,,,
2441,"38155","",,,,"",2.356,8.47,,
2442,"38155","",,,,"",2.35,,,
2443,"38328","",,,,"",1.96,8.28,,
2444,"38328","",,,,"",1.885,,,
2445,"38011","",,,,"",1.938,8.06,,
2446,"38350","",,,,"",0.467,7.87,,
2447,"38350","",,,,"",0.505,,,
2448,"38274","",,,,"",0.714,8.39,,
2449,"38274","",,,,"",0.769,,,
2450,"38238","",,,,"",3.109,7.5,,
2451,"38238","",,,,"",3.125,,,
2452,"38238","",,,,"",3.166,,,
2453,"38245","",,,,"",4.694,7.65,,
2454,"38245","",,,,"",4.693,,,
2455,"37410","",,,,"",3.172,7.3,,
2456,"38222","",,,,"",3.129,7.44,,
2457,"38222","",,,,"",3.177,,,
2458,"38222","",,,,"",3.184,,,
2459,"38222","",,,,"",3.122,,,
2460,"38222","",,,,"",3.193,,,
2461,"38222","",,,,"",3.123,,,
2462,"38222","",,,,"",3.18,,,
2463,"38222","",,,,"",3.165,,,
2622,"38213","",,,,"",0.744,7.4,,
2623,"38213","",,,,"",0.787,,,
2782,"38011","3",,,1528,"",,,,
2783,"38011","3",,,1529,"",,,,
2784,"38011","3",,,1529,"",,,,
2785,"38011","3",,,1528,"",,,,
2786,"38011","3",76.6,94.55,1527,"1",,,,
2787,"1","2",,,,"",,,,
2788,"38213","2",128.3,144.13,4239,"1",,,,
2789,"38213","2",,,4239,"",,,,
2790,"38213","2",128.4,144.16,4239,"1",,,,
2791,"38274","2",,,4248,"",,,,
2792,"38274","2",128.4,144.02,4248,"1",,,,
2793,"38274","2",,,4248,"",,,,
2794,"38274","2",128.4,144.31,4248,"1",,,,
2795,"38274","2",,,4248,"",,,,
2796,"38274","2",128.4,144,4248,"1",,,,
2797,"38274","2",,,4248,"",,,,
2798,"38274","2",128.3,144.29,4248,"1",,,,
2799,"38272","2",,,4525,"",,,,
2800,"38272","2",128.4,140.48,4524,"1",,,,
2801,"38272","2",,,4523,"",,,,
2802,"38272","2",128.3,140.23,4522,"1",,,,
2803,"38272","2",,,4523,"",,,,
2804,"38272","2",128.4,140.51,4523,"1",,,,
2805,"38272","2",,,4522,"",,,,
2806,"38272","2",128.4,140.04,4523,"1",,,,
2807,"38350","2",128.4,140.03,4528,"1",,,,
2808,"38350","2",,,4528,"",,,,
2809,"38350","2",128.4,140.21,4528,"1",,,,
2810,"38155","2",,,2154,"",,,,
2811,"38155","2",,,2153,"",,,,
2812,"38155","2",77.3,103.5,2153,"1",,,,
2813,"38155","2",,,2153,"",,,,
2814,"38155","2",,,2154,"",,,,
2815,"38155","2",77.4,103.63,2153,"1",,,,
2816,"38155","2",,,2151,"",,,,
2817,"38155","2",,,2152,"",,,,
2818,"38155","2",77.3,103.41,2153,"1",,,,
2819,"38155","2",,,2153,"",,,,
2820,"38155","2",,,2153,"",,,,
2821,"38155","2",77.3,103.5,2152,"1",,,,
2822,"38155","2",,,2152,"",,,,
2823,"38155","2",,,2153,"",,,,
2824,"38155","2",77.3,103.25,2150,"1",,,,
2825,"38155","2",,,2151,"",,,,
2826,"38155","2",,,2151,"",,,,
2827,"38155","2",77.3,103.14,2151,"1",,,,
2828,"38155","2",,,2153,"",,,,
2829,"38155","2",,,2153,"",,,,
2830,"38155","2",77.4,103.61,2151,"1",,,,
2831,"38155","2",,,2152,"",,,,
2832,"38155","2",,,2153,"",,,,
2833,"38155","2",77.4,103.75,2151,"1",,,,
2834,"38155","2",,,2151,"",,,,
2835,"38155","2",,,2153,"",,,,
2836,"38155","2",77.4,103.46,2150,"1",,,,
2837,"38155","2",,,2152,"",,,,
2838,"38155","2",,,2152,"",,,,
2839,"38155","2",77.4,103.78,2151,"1",,,,
2840,"38155","2",,,2152,"",,,,
2841,"38155","2",,,2153,"",,,,
2842,"38155","2",77.3,103.51,2152,"1",,,,
2843,"38155","2",,,2151,"",,,,
2844,"38155","2",,,2152,"",,,,
2845,"38155","2",77.4,103.62,2151,"1",,,,
2846,"38354","2",,,1383,"",,,,
2847,"38354","2",,,1384,"",,,,
2848,"38354","2",128.4,140.18,1384,"1",,,,
2849,"38354","3",,,1384,"",,,,
2850,"38354","3",,,1384,"",,,,
2851,"38354","3",128.4,140.58,1383,"1",,,,
2852,"38354","1",,,1385,"",,,,
2853,"38354","1",,,1385,"",,,,
2854,"38354","1",128.4,140.1,1383,"1",,,,
2855,"38356","1",,,2015,"",,,,
2856,"38356","1",,,2015,"",,,,
2857,"38356","1",76.6,90.54,2015,"1",,,,
2858,"38356","7",,,2015,"",,,,
2859,"38356","7",,,2015,"",,,,
2860,"38356","7",76.5,90.57,2015,"1",,,,
2861,"38356","4",,,2015,"",,,,
2862,"38356","4",,,2015,"",,,,
2863,"38356","4",76.6,90.64,2015,"1",,,,
2864,"38356","5",,,2015,"",,,,
2865,"38356","5",,,2015,"",,,,
2866,"38356","5",76.6,90.49,2015,"1",,,,
2867,"38356","2",,,2015,"",,,,
2868,"38356","2",,,2015,"",,,,
2869,"38356","2",76.5,90.46,2015,"1",,,,
2870,"38356","3",,,2015,"",,,,
2871,"38356","3",,,2015,"",,,,
2872,"38356","3",76.6,90.68,2015,"1",,,,
2873,"38355","2",,,2015,"",,,,
2874,"38355","2",,,2015,"",,,,
2875,"38355","2",76.6,106.04,2015,"1",,,,
2876,"38355","3",,,2015,"",,,,
2877,"38355","3",,,2015,"",,,,
2878,"38355","3",76.6,106.29,2015,"1",,,,
2879,"38355","1",,,2015,"",,,,
2880,"38355","1",,,2015,"",,,,
2881,"38355","1",76.5,106.26,2015,"1",,,,
2882,"38356","9",,,2015,"",,,,
2883,"38356","9",,,2015,"",,,,
2884,"38356","9",76.6,90.62,2015,"1",,,,
2885,"38356","8",,,2015,"",,,,
2886,"38356","8",,,2015,"",,,,
2887,"38356","8",76.5,90.64,2015,"1",,,,
2888,"38356","6",,,2015,"",,,,
2889,"38356","6",,,2015,"",,,,
2890,"38356","6",76.5,90.73,2015,"1",,,,
2891,"38222","8",,,8628,"",,,,
2892,"38222","8",,,8630,"",,,,
2893,"38222","8",76.6,106.2,8622,"1",,,,
2894,"38222","7",,,8621,"",,,,
2895,"38222","7",,,8631,"",,,,
2896,"38222","7",76.6,106.4,8621,"1",,,,
2897,"38222","6",,,8626,"",,,,
2898,"38222","6",,,8630,"",,,,
2899,"38222","6",76.6,106.35,8626,"1",,,,
2900,"38222","5",,,8621,"",,,,
2901,"38222","5",,,8630,"",,,,
2902,"38222","5",76.6,106.4,8627,"1",,,,
2903,"38222","4",,,8621,"",,,,
2904,"38222","4",,,8630,"",,,,
2905,"38222","4",76.6,106.48,8621,"1",,,,
2906,"38222","3",,,8620,"",,,,
2907,"38222","3",,,8629,"",,,,
2908,"38222","3",76.6,106.37,8622,"1",,,,
2909,"38222","2",,,8622,"",,,,
2910,"38222","2",,,8631,"",,,,
2911,"38222","2",76.6,106.48,8627,"1",,,,
2912,"38222","1",,,8621,"",,,,
2913,"38222","1",,,8631,"",,,,
2914,"38222","1",76.6,106.14,8622,"1",,,,
2915,"38238","2",,,9813,"",,,,
2916,"38238","2",,,9820,"",,,,
2917,"38238","2",76.45,106.43,9812,"1",,,,
2918,"38238","3",,,9815,"",,,,
2919,"38238","3",,,9820,"",,,,
2920,"38238","3",76.5,106.56,9815,"1",,,,
2921,"38238","4",,,9816,"",,,,
2922,"38238","4",,,9820,"",,,,
2923,"38238","4",76.5,106.47,9813,"1",,,,
2924,"37410","3",,,9810,"",,,,
2925,"37410","3",,,9818,"",,,,
2926,"37410","3",76.45,106.37,9809,"1",,,,
2927,"38245","3",,,9816,"",,,,
2928,"38245","3",,,9820,"",,,,
2929,"38245","3",76.5,106.74,9815,"1",,,,
2930,"38245","2",,,9816,"",,,,
2931,"38245","2",,,9820,"",,,,
2932,"38245","2",76.5,106.69,9814,"1",,,,
2933,"38328","1",,,1527,"",,,,
2934,"38328","1",,,1528,"",,,,
2935,"38328","1",,,1528,"",,,,
2936,"38328","1",,,1528,"",,,,
2937,"38328","1",,,1529,"",,,,
2938,"38328","1",76.6,94.52,1527,"1",,,,
2939,"38011","3",,,1527,"",,,,
2940,"38011","3",,,1528,"",,,,
2941,"38011","3",,,1529,"",,,,
2942,"38011","3",,,1529,"",,,,
2943,"38011","3",,,1528,"",,,,
2944,"38011","3",76.6,94.55,1527,"1",,,,
2945,"1","2",,,,"",,,,
3262,"38213","2",128.3,144.13,4239,"1",,,,2004-08-05 15:15:55
3263,"38213","2",,,4239,"",,,,2004-08-05 15:15:55
3264,"38213","2",128.4,144.16,4239,"1",,,,2004-08-05 15:15:56
3265,"38274","2",,,4248,"",,,,2004-08-05 15:15:56
3266,"38274","2",128.4,144.02,4248,"1",,,,2004-08-05 15:15:57
3267,"38274","2",,,4248,"",,,,2004-08-05 15:15:57
3268,"38274","2",128.4,144.31,4248,"1",,,,2004-08-05 15:15:57
3269,"38274","2",,,4248,"",,,,2004-08-05 15:15:58
3270,"38274","2",128.4,144,4248,"1",,,,2004-08-05 15:15:58
3271,"38274","2",,,4248,"",,,,2004-08-05 15:15:59
3272,"38274","2",128.3,144.29,4248,"1",,,,2004-08-05 15:15:59
3273,"38272","2",,,4525,"",,,,2004-08-05 15:15:59
3274,"38272","2",128.4,140.48,4524,"1",,,,2004-08-05 15:16:00
3275,"38272","2",,,4523,"",,,,2004-08-05 15:16:00
3276,"38272","2",128.3,140.23,4522,"1",,,,2004-08-05 15:16:01
3277,"38272","2",,,4523,"",,,,2004-08-05 15:16:01
3278,"38272","2",128.4,140.51,4523,"1",,,,2004-08-05 15:16:01
3279,"38272","2",,,4522,"",,,,2004-08-05 15:16:02
3280,"38272","2",128.4,140.04,4523,"1",,,,2004-08-05 15:16:02
3281,"38350","2",128.4,140.03,4528,"1",,,,2004-08-05 15:16:03
3282,"38350","2",,,4528,"",,,,2004-08-05 15:16:03
3283,"38350","2",128.4,140.21,4528,"1",,,,2004-08-05 15:16:03
3284,"38155","2",,,2154,"",,,,2004-08-05 15:16:04
3285,"38155","2",,,2153,"",,,,2004-08-05 15:16:04
3286,"38155","2",77.3,103.5,2153,"1",,,,2004-08-05 15:16:05
3287,"38155","2",,,2153,"",,,,2004-08-05 15:16:05
3288,"38155","2",,,2154,"",,,,2004-08-05 15:16:05
3289,"38155","2",77.4,103.63,2153,"1",,,,2004-08-05 15:16:06
3290,"38155","2",,,2151,"",,,,2004-08-05 15:16:06
3291,"38155","2",,,2152,"",,,,2004-08-05 15:16:07
3292,"38155","2",77.3,103.41,2153,"1",,,,2004-08-05 15:16:07
3293,"38155","2",,,2153,"",,,,2004-08-05 15:16:07
3294,"38155","2",,,2153,"",,,,2004-08-05 15:16:08
3295,"38155","2",77.3,103.5,2152,"1",,,,2004-08-05 15:16:08
3296,"38155","2",,,2152,"",,,,2004-08-05 15:16:09
3297,"38155","2",,,2153,"",,,,2004-08-05 15:16:09
3298,"38155","2",77.3,103.25,2150,"1",,,,2004-08-05 15:16:09
3299,"38155","2",,,2151,"",,,,2004-08-05 15:16:10
3300,"38155","2",,,2151,"",,,,2004-08-05 15:16:10
3301,"38155","2",77.3,103.14,2151,"1",,,,2004-08-05 15:16:11
3302,"38155","2",,,2153,"",,,,2004-08-05 15:16:11
3303,"38155","2",,,2153,"",,,,2004-08-05 15:16:11
3304,"38155","2",77.4,103.61,2151,"1",,,,2004-08-05 15:16:12
3305,"38155","2",,,2152,"",,,,2004-08-05 15:16:12
3306,"38155","2",,,2153,"",,,,2004-08-05 15:16:13
3307,"38155","2",77.4,103.75,2151,"1",,,,2004-08-05 15:16:13
3308,"38155","2",,,2151,"",,,,2004-08-05 15:16:13
3309,"38155","2",,,2153,"",,,,2004-08-05 15:16:14
3310,"38155","2",77.4,103.46,2150,"1",,,,2004-08-05 15:16:14
3311,"38155","2",,,2152,"",,,,2004-08-05 15:16:15
3312,"38155","2",,,2152,"",,,,2004-08-05 15:16:15
3313,"38155","2",77.4,103.78,2151,"1",,,,2004-08-05 15:16:15
3314,"38155","2",,,2152,"",,,,2004-08-05 15:16:16
3315,"38155","2",,,2153,"",,,,2004-08-05 15:16:16
3316,"38155","2",77.3,103.51,2152,"1",,,,2004-08-05 15:16:17
3317,"38155","2",,,2151,"",,,,2004-08-05 15:16:17
3318,"38155","2",,,2152,"",,,,2004-08-05 15:16:17
3319,"38155","2",77.4,103.62,2151,"1",,,,2004-08-05 15:16:18
3320,"38354","2",,,1383,"",,,,2004-08-05 15:16:18
3321,"38354","2",,,1384,"",,,,2004-08-05 15:16:19
3322,"38354","2",128.4,140.18,1384,"1",,,,2004-08-05 15:16:19
3323,"38354","3",,,1384,"",,,,2004-08-05 15:16:20
3324,"38354","3",,,1384,"",,,,2004-08-05 15:16:20
3325,"38354","3",128.4,140.58,1383,"1",,,,2004-08-05 15:16:20
3326,"38354","1",,,1385,"",,,,2004-08-05 15:16:21
3327,"38354","1",,,1385,"",,,,2004-08-05 15:16:21
3328,"38354","1",128.4,140.1,1383,"1",,,,2004-08-05 15:16:22
3329,"38356","1",,,2015,"",,,,2004-08-05 15:16:22
3330,"38356","1",,,2015,"",,,,2004-08-05 15:16:22
3331,"38356","1",76.6,90.54,2015,"1",,,,2004-08-05 15:16:23
3332,"38356","7",,,2015,"",,,,2004-08-05 15:16:23
3333,"38356","7",,,2015,"",,,,2004-08-05 15:16:24
3334,"38356","7",76.5,90.57,2015,"1",,,,2004-08-05 15:16:24
3335,"38356","4",,,2015,"",,,,2004-08-05 15:16:24
3336,"38356","4",,,2015,"",,,,2004-08-05 15:16:25
3337,"38356","4",76.6,90.64,2015,"1",,,,2004-08-05 15:16:25
3338,"38356","5",,,2015,"",,,,2004-08-05 15:16:26
3339,"38356","5",,,2015,"",,,,2004-08-05 15:16:26
3340,"38356","5",76.6,90.49,2015,"1",,,,2004-08-05 15:16:26
3341,"38356","2",,,2015,"",,,,2004-08-05 15:16:27
3342,"38356","2",,,2015,"",,,,2004-08-05 15:16:27
3343,"38356","2",76.5,90.46,2015,"1",,,,2004-08-05 15:16:28
3344,"38356","3",,,2015,"",,,,2004-08-05 15:16:28
3345,"38356","3",,,2015,"",,,,2004-08-05 15:16:28
3346,"38356","3",76.6,90.68,2015,"1",,,,2004-08-05 15:16:29
3347,"38355","2",,,2015,"",,,,2004-08-05 15:16:29
3348,"38355","2",,,2015,"",,,,2004-08-05 15:16:30
3349,"38355","2",76.6,106.04,2015,"1",,,,2004-08-05 15:16:30
3350,"38355","3",,,2015,"",,,,2004-08-05 15:16:30
3351,"38355","3",,,2015,"",,,,2004-08-05 15:16:31
3352,"38355","3",76.6,106.29,2015,"1",,,,2004-08-05 15:16:31
3353,"38355","1",,,2015,"",,,,2004-08-05 15:16:32
3354,"38355","1",,,2015,"",,,,2004-08-05 15:16:32
3355,"38355","1",76.5,106.26,2015,"1",,,,2004-08-05 15:16:32
3356,"38356","9",,,2015,"",,,,2004-08-05 15:16:33
3357,"38356","9",,,2015,"",,,,2004-08-05 15:16:33
3358,"38356","9",76.6,90.62,2015,"1",,,,2004-08-05 15:16:34
3359,"38356","8",,,2015,"",,,,2004-08-05 15:16:34
3360,"38356","8",,,2015,"",,,,2004-08-05 15:16:34
3361,"38356","8",76.5,90.64,2015,"1",,,,2004-08-05 15:16:35
3362,"38356","6",,,2015,"",,,,2004-08-05 15:16:35
3363,"38356","6",,,2015,"",,,,2004-08-05 15:16:36
3364,"38356","6",76.5,90.73,2015,"1",,,,2004-08-05 15:16:36
3365,"38222","8",,,8628,"",,,,2004-08-05 15:16:36
3366,"38222","8",,,8630,"",,,,2004-08-05 15:16:37
3367,"38222","8",76.6,106.2,8622,"1",,,,2004-08-05 15:16:37
3368,"38222","7",,,8621,"",,,,2004-08-05 15:16:38
3369,"38222","7",,,8631,"",,,,2004-08-05 15:16:38
